DATE,OPERATING_SYSTEM,DEVICE_TYPE,MARKETING_CHANNEL,PAYMENT_METHOD,PRODUCT_NAME,SOURCE_TABLE,SE%,ORDER_PER_CART,UPGRADES,CART_ABANDON,CHECKOUTS,USERS,TIME_SPENT_PER_VISIT,MV,ATC%,VISITS,UNITS,REVENUE,CVR%,CRASHES,LAUNCHES,QV%,ATC,MV%,SITE_SEARCH,INSTALLS,UNIQUE_VISITORS,ORDERS,QV,PRODUCT_VIEWS,AOV
2025-05-25 04:00:00.000,Linux,Mobile Phone,Video,GPay,F2,app_data_source_3,15.21,9.52,55.14,100.8,57.6,4742.46,2.58,811.52,14.95,4172.79,376.63,439.85,86.68,11.48,293.26,38.69,263.82,19.31,364.45,155.19,1499.55,182,696.09,7853.55,2.416758242
2023-09-12 01:00:00.000,iOS,Mobile Phone,Display,Rupay,F1,app_data_source_1,25.52,3.93,51.64,16.61,115.95,268,12.3,958.24,29.87,4456.56,241.69,4613.52,48.94,31.96,889.11,82.7,371.41,84.92,206,63.65,2105.2,275.74,187.18,454.47,16.731413651
2024-10-20 17:00:00.000,Linux,Tablet,Paid Search,GPay,F3,app_data_source_2,43.48,2.58,17.14,0.95,87.49,1203.47,18.52,80.95,36.58,3264.37,93.77,467.62,54.45,20.07,264.79,76.16,199.14,36.52,211.55,398.47,770.96,111.49,152.43,3318.16,4.194277514
2024-05-13 11:00:00.000,Linux,Mobile Phone,Other Links,Credit Card,S2,app_data_source_3,4.2,7.67,98.34,109.61,153.85,3774.73,10.3,940.92,72.9,1551.72,304.53,4859.2,97.95,3.13,587.97,65.96,367.91,47.78,113.98,123.93,319.71,53.38,162.62,405.43,91.030348445
2025-04-03 06:00:00.000,Android,Tablet,QR code,GPay,S2,app_data_source_2,54.32,7.65,1.72,129.91,98.54,375.91,4.83,189.24,81.93,4407.58,248.84,1613.61,96.06,6.42,748.94,9.19,390.71,18.93,147.83,262.88,2758.3,27.91,477.1,677.38,57.814761734
2024-12-02 20:00:00.000,Android,Other,Video,GPay,S4,app_data_source_2,75.62,5.18,96.84,125.81,136.13,785.63,19,766.14,46.64,832.31,278.79,2222.41,39.32,31.26,971.47,86.28,9.11,85.17,73.68,268.68,194.24,6.53,423.36,4126.32,340.338437979
2025-04-07 03:00:00.000,macOS,Other,Paid Search,Bank Transfer,S1,app_data_source_3,99.3,5.66,51.08,121.64,13.92,861.91,16.96,756.82,19.19,4265.76,95.72,1730.85,44.07,33.1,620.37,81.61,191.24,2.33,247.08,267.12,920.06,283.7,394.01,4899.99,6.100986958
2024-01-11 10:00:00.000,iOS,Set-top Box,Social Network Referrals,Debit Card,S1,app_data_source_2,86.42,3.16,43.98,107.8,222.61,3846.83,3.7,149.26,51.87,2172.48,224.04,609.91,33.68,12.29,305.65,42.47,319.97,12.69,427.3,126.07,93.13,105.77,786.82,1705.11,5.766379881
2025-01-31 08:00:00.000,Linux,Television,Video,Credit Card,F1,app_data_source_3,47.95,6.77,55.58,58.51,27.23,4818.98,2.36,213.55,34.58,561.86,208.96,380.32,34.36,18.05,741.21,54.54,39.84,49.95,43.51,217.84,2135.47,229.54,671.4,5195.27,1.656878975
2023-10-16 16:00:00.000,Windows,Other,Social Network Referrals,Credit Card,S4,app_data_source_2,41.31,3.95,70.34,100.38,41.76,969.28,18.46,384.8,63.54,679.23,241.97,2109.24,2.78,13.15,50.7,89.84,331.22,87.56,35.01,261.84,1171.75,188.42,807.18,702.71,11.194353041
2023-03-17 17:00:00.000,Windows,Set-top Box,Social Network Referrals,Credit Card,S2,app_data_source_2,12.23,0.99,98.79,37.18,116.24,3762.33,1.61,331.35,92.22,3565.2,351.75,387.45,10.14,25.61,817.39,11.94,142.04,40.57,162.88,299.54,592.3,248.68,559.69,302.18,1.558026379
2025-03-04 17:00:00.000,macOS,Set-top Box,QR code,Bank Transfer,F3,app_data_source_1,96.07,1.04,99.28,54.66,210.3,723.72,10.16,549.98,29.86,1432,355.34,4589.34,8.2,19.98,787.16,66.08,193.14,25.15,0.94,444.59,636.25,197.19,457.01,6923.51,23.273695421
2025-05-20 11:00:00.000,macOS,Set-top Box,Display,Rupay,F3,app_data_source_3,32.93,7.56,59.76,124.23,1.2,2139.13,9.22,265.32,79.13,2029.12,315.28,1694.03,37.6,19.8,63.5,34.58,356.48,45.6,419.09,216.63,156.69,212.66,705.72,4307.95,7.965908022
2024-03-04 06:00:00.000,Linux,Mobile Phone,Social Network Referrals,Bank Transfer,S1,app_data_source_3,16.4,0.67,2.23,10.5,175.73,3656.7,1.84,64.54,25.46,2629.2,235.49,2689.77,88.44,6.74,747.35,25.59,193.6,11.47,399.56,32.46,219.7,286.16,168.85,5865.75,9.399531731
2025-05-10 23:00:00.000,Android,Other,Push Notification,Debit Card,F1,app_data_source_1,39.9,6,1.41,37.22,62.22,2835.89,1.31,267.73,59.42,100.89,195.38,2017.58,35.92,40.02,117.22,37.41,480.6,84.78,396.48,31.67,2464.74,43.46,814.78,8312.13,46.423838012
