DATE,DEVICE_TYPE,MARKETING_CHANNEL,PAYMENT_METHOD,PRODUCT_NAME,SE%,ORDER_LAST_TOUCH,CART_ADD_FIRST_TOUCH,CART_ADD_LAST_TOUCH,CART_ADD,TIME_SPENT_PER_VISIT,CHECKOUTS,SITE_SEARCH,MV,MV%,REVENUE,QV%,UNITS,PRODUCT_VIEWS,VISITS,UNIQUE_VISITORS,ATC%,ATC,ORDER_FIRST_TOUCH,ORDER,ORDER%,CART_ABANDON,AOV
2024-01-21 18:00:00.000,Mobile Phone,Social Media Campaigns,Debit Card,S3,59.9,17.19,69.78,105.04,109.71,16.24,115.52,192.93,635.34,99.51,4520.15,62.73,231.41,2775.95,2955.86,495.26,24.97,195.13,143.18,103.23,36.2,119.54,43.787174271
2023-11-13 02:00:00.000,Other,Video,Bank Transfer,F5,72.42,116.28,83.35,62.86,17.81,1.85,180.29,288.5,178.76,76.46,410.22,86.85,280.11,2486.54,4774.91,2184.98,22.25,386.17,121.86,52.49,31.12,39.32,7.815202896
2024-07-04 00:00:00.000,Tablet,Video,Bank Transfer,S3,58.89,135.01,96.41,113.9,115.46,3.8,94.53,277.56,261.33,52.22,3273.11,7.07,271.12,5991.14,1146.38,120.65,84.8,207.8,115.13,161.59,9.42,17.07,20.255647008
2025-03-13 23:00:00.000,Set-top Box,Other Links,Rupay,S2,71.39,32.96,138.61,116.06,318.79,15.58,74.6,145.99,525.29,31.97,1782.06,6.19,28.1,487.29,3985.7,1475.26,24.48,60.34,109.54,63.8,91.76,116.22,27.931974922
2024-07-19 14:00:00.000,Other,Display,Credit Card,S3,27.38,18.04,16.15,99.4,217.99,17,145.17,65.84,781.26,40.79,4899.13,85.73,287.1,9044.39,2070.88,754.54,12.86,494.96,175.84,188.46,98.64,61.77,25.995595882
2024-03-18 02:00:00.000,Other,Video,Credit Card,F1,33.79,86.79,118.15,94.76,329.3,13.08,268.95,349.86,958.49,98.76,2495.82,9.96,392.95,4063.63,2846.91,568.71,9.88,211.03,70.84,168.64,78.35,66.56,14.799691651
2023-01-18 01:00:00.000,Tablet,Other Links,Bank Transfer,S2,42.38,144.15,100.54,75.16,182.29,4.37,193.8,70.2,417.41,79.87,1597.21,83.67,33.1,7071.24,1253.92,594.94,64.76,377.69,19.87,30.47,10.29,16.86,52.419100755
2023-07-13 21:00:00.000,Set-top Box,Social Media Campaigns,Rupay,S2,66.65,100.68,137.12,117.03,151.33,6.57,121.05,172.87,74.79,38.42,3108.9,2.7,91.19,1992.22,716.24,1626.65,10.65,253.82,152.38,22.15,9.56,101.81,140.356659142
2024-06-01 02:00:00.000,Set-top Box,Other Links,Bank Transfer,F2,86.74,143.75,3.39,11.53,91.08,17.98,274.9,238.38,615.83,54.76,1638.24,11.92,430.72,7907.26,524.21,1038.22,33.71,106.67,35.74,26.56,18.13,109.93,61.680722892
2024-01-01 07:00:00.000,Tablet,Other Links,Bank Transfer,F2,91.03,76.51,26.51,149.6,340.84,18.99,104.82,63.93,56.7,73.41,4309.96,48.35,418.75,6825.61,625.37,673.31,13.91,112.52,192.81,147.87,60.61,114.52,29.146953405
2024-04-13 01:00:00.000,Other,Paid Search,Bank Transfer,F3,41.99,58.39,149.89,65.53,272.57,6.46,74.13,225.62,483.61,81.83,4212.32,8.71,251.03,1568.9,4089.3,2461.47,96.2,388.55,2.57,1.96,47.33,131.95,2149.142857143
2024-08-25 23:00:00.000,Tablet,QR code,Debit Card,F5,1.17,46.42,93.05,104.89,340.98,5.41,172.49,187.71,948.82,9.7,4852.28,21.08,92.8,2880.63,3175.43,2895.71,37.68,253.85,197.51,132.25,23.16,4.93,36.69020794
2024-12-16 21:00:00.000,Other,Push Notification,Debit Card,S1,70.08,174.9,25.61,115.07,69,6.95,279.51,36.3,347.44,8.29,3047.93,0.26,35.52,3170.46,3991.27,820.81,83.66,35.64,190.51,145.93,45.69,37.6,20.886246831
2023-05-20 14:00:00.000,Set-top Box,Video,Rupay,F5,57.75,10.37,53.27,97.34,113.77,11.05,275.44,306.48,341.38,65.54,4038.37,78.83,306.39,2798.77,4904.98,2359.28,28.39,446.76,41.31,123.24,16.25,76.17,32.768338202
